NOM_EVENEMENT,DATE,VILLE
FUUDGE,2022-03-25,Saint-Prime
YVES DUTEIL,2022-03-26,Jonquière
BALLET JÖRGEN - ROMÉO ET JULIETTE,2022-03-26,Dolbeau-Mistassini
MÉLISSA BÉDARD,2022-03-26,Alma
ELLIOT MAGINOT,2022-03-26,Jonquière
LES 3 SOEURS,2022-03-30,Chicoutimi
LE THÉÂTRE À BOUT PORTANT PRÉSENTE LA MIGRATION DES PEUPLES,2022-03-31,Chicoutimi
GLOB,2022-03-31,Alma
ROMÉO ET JULIETTE DE BALLET JÖRGEN CANADA,2022-03-31,Jonquière
VINCENT VALLIÈRES,2022-03-31,Jonquière
DOMINIC ET MARTIN,2022-04-01,Jonquière
LES MORISSETTE II,2022-04-02,La Baie
VINCENT VALLIÈRES,2022-04-02,Saint-Prime
SIMON LEBLANC,2022-04-02,Alma
MIKE WARD,2022-04-02,Chicoutimi
ROUGE POMPIER,2022-04-02,Jonquière
LE THÉÂTRE LA RUBRIQUE PRÉSENTE BROTIPO,2022-04-03,Jonquière
HUIT FEMMES,2022-04-03,Chicoutimi
JE SUIS WILLIAM,2022-04-04,Alma
LE THÉÂTRE LA RUBRIQUE PRÉSENTE LES HARDINGS,2022-04-07,Jonquière
RITA BAGA,2022-04-07,Alma
LES DIX COMMANDEMENTS 2020,2022-04-08,Alma
RITA BAGA,2022-04-08,Jonquière
DIANE TELL,2022-04-08,Jonquière
"MARTIN LEVAC, PHIL COLLINS & GENESIS",2022-04-09,Chicoutimi
ALAIN MORISOD ET SWEET PEOPLE,2022-04-14,Alma
ARNAUD SOLY,2022-04-14,Chicoutimi
PHILIPPE LAPRISE - POURQUOI PAS,2022-04-15,Roberval
LOUIS-JEAN CORMIER,2022-04-15,Saint-Prime
P-A MÉTHOT,2022-04-15,Alma
ALAIN MORISOD ET SWEET PEOPLE,2022-04-15,La Baie
ÉMILE PROULX-CLOUTIER,2022-04-16,Alma
COEUR DE PIRATE,2022-04-16,La Baie
PHILIPPE LAPRISE - POURQUOI PAS,2022-04-17,Alma
"FROID, DISTANT",2022-04-21,Chicoutimi
MONONC'SERGE EN TRIO,2022-04-22,Jonquière
CRYPTO,2022-04-23,Alma
LADIES NIGHT,2022-04-23,Chicoutimi
THE TWO,2022-04-25,Jonquière
LES POLISSONS DE LA CHANSON,2022-04-27,Chicoutimi
ÉMILE BILODEAU,2022-04-28,Jonquière
STACEY KENT SYMPHONIQUE,2022-04-28,Chicoutimi
LES ROYAL PICKLES,2022-04-28,Jonquière
DAWN TYLER WATSON,2022-04-29,Jonquière
ÉMILE BILODEAU,2022-04-29,Saint-Prime
LE THÉÂTRE LA RUBRIQUE PRÉSENTE LE MAGICIEN D'OZ,2022-04-30,Jonquière
COLIN JAMES BLUES TRIO,2022-04-30,Chicoutimi
COLIN JAMES BLUES TRIO,2022-04-30,Chicoutimi
HUIT FEMMES,2022-05-06,Roberval
LE THÉÂTRE LA RUBRIQUE PRÉSENTE UNE LUNE ENTRE DEUX MAISONS,2022-05-07,Jonquière
DAN BIGRAS,2022-05-07,Jonquière
PHILIPPE LAPRISE - POURQUOI PAS,2022-05-13,Chicoutimi
NICOLAS GÉMUS,2022-05-13,Jonquière
LE THÉÂTRE LA RUBRIQUE PRÉSENTE LE PROBLÈME AVEC LE ROSE,2022-05-14,Jonquière
DROGUE,2022-05-14,Jonquière
LA TOURNÉE DU GAGNANT DE STAR ACADÉMIE,2022-05-19,Alma
LA TOURNÉE DU GAGNANT DE STAR ACADÉMIE,2022-05-21,Jonquière
LOUISE BESSETTE,2022-05-22,Alma
ROXANE BRUNEAU,2022-06-02,Alma
ROXANE BRUNEAU,2022-06-03,Chicoutimi
ROXANE BRUNEAU,2022-06-03,Chicoutimi
TIRE LE COYOTE,2022-06-04,Alma
CLAUDE DUBOIS,2022-06-04,Chicoutimi
ROXANE BRUNEAU,2022-06-05,Roberval
Écouter le champ des racines,2022-09-21,Longueil
Écouter le champ des racines,2022-09-22,Longueil
Écouter le champ des racines,2022-09-23,Longueil
Écouter le champ des racines,2022-09-24,Longueil
Écouter le champ des racines,2022-09-25,Longueil
Écouter le champ des racines,2022-09-26,Longueil
Écouter le champ des racines,2022-09-27,Longueil
Écouter le champ des racines,2022-09-28,Longueil
Écouter le champ des racines,2022-09-29,Longueil
Écouter le champ des racines,2022-09-30,Longueil
Écouter le champ des racines,2022-10-01,Longueil
Dimanches fous,2022-09-18,Longueil
Exposition : « L'histoire de Longueuil : de l'archéologie à la modernité »,2022-09-15,Longueil
Fruits et légumes au Marché ambulant,2022-09-17,Longueil
Fruits et légumes au Marché ambulant,2022-09-24,Longueil
Fruits et légumes au Marché ambulant,2022-09-18,Longueil
Fruits et légumes au Marché ambulant,2022-09-25,Longueil
Marché de quartier,2022-09-17,Longueil
Marché de quartier,2022-09-24,Longueil
Marché de quartier,2022-10-01,Longueil
Marché de quartier,2022-10-08,Longueil
Marché de quartier,2022-10-15,Longueil
Marché de quartier,2022-10-22,Longueil
Expositions à la bibliothèque Georges-Dor,2022-09-15,Longueil
Expositions à la bibliothèque Georges-Dor,2022-09-20,Longueil
Expositions à la bibliothèque Georges-Dor,2022-09-21,Longueil
Expositions à la bibliothèque Georges-Dor,2022-09-22,Longueil
Expositions à la bibliothèque Georges-Dor,2022-09-27,Longueil
Expositions à la bibliothèque Georges-Dor,2022-09-28,Longueil
Expositions à la bibliothèque Georges-Dor,2022-09-29,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-04,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-05,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-06,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-11,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-12,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-13,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-18,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-19,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-20,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-25,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-26,Longueil
Expositions à la bibliothèque Georges-Dor,2022-10-27,Longueil
Expositions à la bibliothèque Georges-Dor,2022-11-01,Longueil
