"Nom de la borne de recharge","Nom du parc","Adresse","Rue","Suite","Ville","Province","Code Postal","Région","Niveau de recharge","Latitude","Longitude","Coût","Mode de tarification","Type d’emplacement","Puissance (kW)"
"CEA-172","7082 | BHR | CDN-NDG | 3220 Appleton : Parc Kent","3220 Avenue Appleton Montréal QC H3S 2T3","3220, Avenue Appleton",,"Montréal","QC","H3S 2T3","Montréal","Niveau 2",45.50526180000001,-73.63161219999999,1,"par heure","",7.2
"CEA-165","7082 | BHR | CDN-NDG | 3220 Appleton : Parc Kent","3220 Avenue Appleton Montréal QC H3S 2T3","3220, Avenue Appleton",,"Montréal","QC","H3S 2T3","Montréal","Niveau 2",45.50526180000001,-73.63161219999999,1,"par heure","",7.2
"CEA-123","7083 | BHR | CDN-NDG | 4920 Vézina - Aréna Bill-Durnam","4988 rue Vézina Montréal QC H3W 1C1","4988, rue Vézina",,"Montréal","QC","H3W 1C1","Montréal","Niveau 2",45.494898,-73.644266,1,"par heure","",7.2
"CEA-12590","7083 | BHR | CDN-NDG | 4920 Vézina - Aréna Bill-Durnam","4988 rue Vézina Montréal QC H3W 1C1","4988, rue Vézina",,"Montréal","QC","H3W 1C1","Montréal","Niveau 2",45.494898,-73.644266,1,"par heure","",7.2
"CEA-12462","761 Chemin Sainte-Anne-des-Lacs","761 Chemin Ste Anne des Lacs Sainte-Anne-des-Lacs QC J0R 1B0","761 Chemin Ste Anne des Lacs",,"Sainte-Anne-des-Lacs","QC","J0R 1B0","Laurentides","Niveau 2",45.8614988,-74.1262116,1,"par heure","",7.2
"CEA-12465","761 Chemin Sainte-Anne-des-Lacs","761 Chemin Ste Anne des Lacs Sainte-Anne-des-Lacs QC J0R 1B0","761 Chemin Ste Anne des Lacs",,"Sainte-Anne-des-Lacs","QC","J0R 1B0","Laurentides","Niveau 2",45.8614988,-74.1262116,1,"par heure","",7.2
"CEA-12467","761 Chemin Sainte-Anne-des-Lacs","761 Chemin Ste Anne des Lacs Sainte-Anne-des-Lacs QC J0R 1B0","761 Chemin Ste Anne des Lacs",,"Sainte-Anne-des-Lacs","QC","J0R 1B0","Laurentides","Niveau 2",45.8614988,-74.1262116,1,"par heure","",7.2
"CEA-12468","761 Chemin Sainte-Anne-des-Lacs","761 Chemin Ste Anne des Lacs Sainte-Anne-des-Lacs QC J0R 1B0","761 Chemin Ste Anne des Lacs",,"Sainte-Anne-des-Lacs","QC","J0R 1B0","Laurentides","Niveau 2",45.8614988,-74.1262116,1,"par heure","",7.2
"CEA-12653","765 Boulevard de la Carrière","765 Boulevard de la Carrière Gatineau QC J8Y 6V1","765 Boulevard de la Carrière",,"Gatineau","QC","J8Y 6V1","Outaouais","Niveau 2",45.452,-75.73083,1,"par heure","",7.2
"CEA-12652","765 Boulevard de la Carrière","765 Boulevard de la Carrière Gatineau QC J8Y 6V1","765 Boulevard de la Carrière",,"Gatineau","QC","J8Y 6V1","Outaouais","Niveau 2",45.452,-75.73083,1,"par heure","",7.2
"CEA-10448","8001 | BSR | SO | 741 Brewster","741 Avenue Brewster Montréal QC H4C 2K2","741, Avenue Brewster",,"Montréal","QC","H4C 2K2","Montréal","Niveau 2",45.482756,-73.582619,1,"par heure","sur rue",7.2
"CEA-10454","8001 | BSR | SO | 741 Brewster","741 Avenue Brewster Montréal QC H4C 2K2","741, Avenue Brewster",,"Montréal","QC","H4C 2K2","Montréal","Niveau 2",45.482756,-73.582619,1,"par heure","sur rue",7.2
"CEA-10274","8001 | BSR | SO | 741 Brewster","741 Avenue Brewster Montréal QC H4C 2K2","741, Avenue Brewster",,"Montréal","QC","H4C 2K2","Montréal","Niveau 2",45.482756,-73.582619,1,"par heure","sur rue",7.2
"CEA-10161","8001 | BSR | SO | 741 Brewster","741 Avenue Brewster Montréal QC H4C 2K2","741, Avenue Brewster",,"Montréal","QC","H4C 2K2","Montréal","Niveau 2",45.482756,-73.582619,1,"par heure","sur rue",7.2
"CEA-10323","8002 | BSR | SO | 372 Square G-E Cartier","372 Square G-E Cartier Montréal QC H4C 3A2","372 Square G-E Cartier","","Montréal","QC","H4C 3A2","Montréal","Niveau 2",45.473652,-73.587634,1,"par heure","sur rue",7.2
"CEA-10260","8002 | BSR | SO | 372 Square G-E Cartier","372 Square G-E Cartier Montréal QC H4C 3A2","372 Square G-E Cartier","","Montréal","QC","H4C 3A2","Montréal","Niveau 2",45.473652,-73.587634,1,"par heure","sur rue",7.2
"CEA-10289","8003 | BSR | SO | 1825 Notre-Dame O","1825 rue Notre-Dame O Montréal QC H3J 2Y4","1825 rue Notre-Dame O","","Montréal","QC","H3J 2Y4","Montréal","Niveau 2",45.487874,-73.569212,1,"par heure","sur rue",7.2
