"Nom de la borne de recharge","Nom du parc","Adresse","Rue","Suite","Ville","Province","Code Postal","Région","Niveau de recharge","Latitude","Longitude","Coût","Mode de tarification","Type d’emplacement","Puissance (kW)"
"CEA-12392","100 rue Sainte-Angélique","100 rue Sainte-Angélique Saint-Basile QC G0A 3G0","100 rue Sainte-Angélique",,"Saint-Basile","QC","G0A 3G0","Capitale-Nationale","Niveau 2",46.757082,-71.825451,1,"par heure","",7.2
"CEA-11452","10001 | BSR | ANJ | 7070 Jean-Talon","7070 rue Jean-Talon Est Montréal QC H1M 3T4","7070 rue Jean-Talon Est",,"Montréal","QC","H1M 3T4","Montréal","Niveau 2",45.597132,-73.569316,1,"par heure","sur rue",7.2
"CEA-11314","10001 | BSR | ANJ | 7070 Jean-Talon","7070 rue Jean-Talon Est Montréal QC H1M 3T4","7070 rue Jean-Talon Est",,"Montréal","QC","H1M 3T4","Montréal","Niveau 2",45.597132,-73.569316,1,"par heure","sur rue",7.2
"CEA-11908","10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie","7111 Marie-G Lajoie Montréal QC H1J 2X8","7111 Marie-G Lajoie",,"Montréal","QC","H1J 2X8","Montréal","Niveau 2",45.605348,-73.585155,1,"par heure","",7.2
"CEA-11904","10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie","7111 Marie-G Lajoie Montréal QC H1J 2X8","7111 Marie-G Lajoie",,"Montréal","QC","H1J 2X8","Montréal","Niveau 2",45.605348,-73.585155,1,"par heure","",7.2
"CEA-11323","10004 | BHR | ANJ | 7501 Rondeau","7501 Rondeau Montréal QC H1K 2P3","7501 Rondeau",,"Montréal","QC","H1K 2P3","Montréal","Niveau 2",45.61634620767123,-73.55157011723178,1,"par heure","",7.2
"CEA-11156","10004 | BHR | ANJ | 7501 Rondeau","7501 Rondeau Montréal QC H1K 2P3","7501 Rondeau",,"Montréal","QC","H1K 2P3","Montréal","Niveau 2",45.61634620767123,-73.55157011723178,1,"par heure","",7.2
"CEA-10038","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","sur rue",7.2
"CEA-10134","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","sur rue",7.2
"CEA-10157","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","",7.2
"CEA-10174","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","sur rue",7.2
"CEA-10171","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","",7.2
"CEA-10177","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","sur rue",7.2
"CEA-10178","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","sur rue",7.2
"CEA-10184","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","sur rue",7.2
"CEA-12059","10007 | BSR | ANJ | 8755 4e Croissant","8755 4e Croissant Montréal QC H1J 1M3","8755 4e Croissant",,"Montréal","QC","H1J 1M3","Montréal","Niveau 2",45.621933,-73.573054,1,"par heure","sur rue",7.2
"CEA-12053","10007 | BSR | ANJ | 8755 4e Croissant","8755 4e Croissant Montréal QC H1J 1M3","8755 4e Croissant",,"Montréal","QC","H1J 1M3","Montréal","Niveau 2",45.621933,-73.573054,1,"par heure","sur rue",7.2
"CEA-12027","10008 | BSR | ANJ | 8261 Haut-Anjou","8261 Haut-Anjou Montréal QC H1J 1T8","8261 Haut-Anjou",,"Montréal","QC","H1J 1T8","Montréal","Niveau 2",45.603003,-73.56918,1,"par heure","sur rue",7.2
"CEA-12056","10008 | BSR | ANJ | 8261 Haut-Anjou","8261 Haut-Anjou Montréal QC H1J 1T8","8261 Haut-Anjou",,"Montréal","QC","H1J 1T8","Montréal","Niveau 2",45.603003,-73.56918,1,"par heure","sur rue",7.2
"CEA-10172","10009 | BSR | ANJ | 8200 ave Chénier - Aréna Chénier","8200 ave Chénier Montréal QC H1J 2E9","8200 ave Chénier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6014799,-73.5416597,1,"par heure","",7.2
"CEA-10043","10009 | BSR | ANJ | 8200 ave Chénier - Aréna Chénier","8200 ave Chénier Montréal QC H1J 2E9","8200 ave Chénier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6014799,-73.5416597,1,"par heure","",7.2
"CEA-10148","10009 | BSR | ANJ | 8200 ave Chénier - Aréna Chénier","8200 ave Chénier Montréal QC H1J 2E9","8200 ave Chénier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6014799,-73.5416597,1,"par heure","",7.2
"CEA-10144","10009 | BSR | ANJ | 8200 ave Chénier - Aréna Chénier","8200 ave Chénier Montréal QC H1J 2E9","8200 ave Chénier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6014799,-73.5416597,1,"par heure","",7.2
"CEA-10928","1001 | BSR | AC | 10719 D'auteuil","10719 Avenue d'Auteuil Montréal QC H3L 2K7","10719, Avenue d'Auteuil",,"Montréal","QC","H3L 2K7","Montréal","Niveau 2",45.55327559999999,-73.6697993,1,"par heure","sur rue",7.2
"CEA-10942","1001 | BSR | AC | 10719 D'auteuil","10719 Avenue d'Auteuil Montréal QC H3L 2K7","10719, Avenue d'Auteuil",,"Montréal","QC","H3L 2K7","Montréal","Niveau 2",45.55327559999999,-73.6697993,1,"par heure","sur rue",7.2
"CEA-10183","10010 | BSR | ANJ | 7701 Louis-H. La Fontaine","7701 Louis-H. La Fontaine Montréal QC H1K 4B9","7701 Louis-H. La Fontaine",,"Montréal","QC","H1K 4B9","Montréal","Niveau 2",45.601665,-73.557643,1,"par heure","sur rue",7.2
"CEA-10162","10010 | BSR | ANJ | 7701 Louis-H. La Fontaine","7701 Louis-H. La Fontaine Montréal QC H1K 4B9","7701 Louis-H. La Fontaine",,"Montréal","QC","H1K 4B9","Montréal","Niveau 2",45.601665,-73.557643,1,"par heure","sur rue",7.2
"CEA-12993","10011 | BSR | ANJ | 6619 Merriam","6619 Merriam Montréal QC H1K 1P1","6619 Merriam",,"Montréal","QC","H1K 1P1","Montréal","Niveau 2",45.604093,-73.551504,1,"par heure","sur rue",7.2
"CEA-13088","10011 | BSR | ANJ | 6619 Merriam","6619 Merriam Montréal QC H1K 1P1","6619 Merriam",,"Montréal","QC","H1K 1P1","Montréal","Niveau 2",45.604093,-73.551504,1,"par heure","sur rue",7.2
"CEA-13040","10012 | BHR | ANJ | 7743 Rheaume","7743 Rheaume Montréal QC H1K 2S2","7743 Rheaume",,"Montréal","QC","H1K 2S2","Montréal","Niveau 2",45.615923,-73.553482,1,"par heure","",7.2
"CEA-12986","10012 | BHR | ANJ | 7743 Rheaume","7743 Rheaume Montréal QC H1K 2S2","7743 Rheaume",,"Montréal","QC","H1K 2S2","Montréal","Niveau 2",45.615923,-73.553482,1,"par heure","",7.2
"CEA-13049","10013 | BSR | ANJ | 8759 Des Sciences","8759 Des Sciences Montréal QC H1J 1H8","8759 Des Sciences",,"Montréal","QC","H1J 1H8","Montréal","Niveau 2",45.617913,-73.559252,1,"par heure","",7.2
"CEA-13036","10013 | BSR | ANJ | 8759 Des Sciences","8759 Des Sciences Montréal QC H1J 1H8","8759 Des Sciences",,"Montréal","QC","H1J 1H8","Montréal","Niveau 2",45.617913,-73.559252,1,"par heure","",7.2
"CEA-12924","10014 | BSR | ANJ | 6992 Place Antioche","6992 Place Antioche Montréal QC H1M 2V5","6992 Place Antioche",,"Montréal","QC","H1M 2V5","Montréal","Niveau 2",45.595635,-73.559549,1,"par heure","sur rue",7.2
"CEA-12927","10014 | BSR | ANJ | 6992 Place Antioche","6992 Place Antioche Montréal QC H1M 2V5","6992 Place Antioche",,"Montréal","QC","H1M 2V5","Montréal","Niveau 2",45.595635,-73.559549,1,"par heure","sur rue",7.2
"CEA-10755","1002 | BSR | AC | 1100 Fleury","1100 rue Fleury Montréal QC H2C 1P9","1100 rue Fleury","","Montréal","QC","H2C 1P9","Montréal","Niveau 2",45.558804,-73.658655,1,"par heure","sur rue",7.2
"CEA-10750","1002 | BSR | AC | 1100 Fleury","1100 rue Fleury Montréal QC H2C 1P9","1100 rue Fleury","","Montréal","QC","H2C 1P9","Montréal","Niveau 2",45.558804,-73.658655,1,"par heure","sur rue",7.2
"CEA-10583","1003 | BSR | AC | 9505 Basile-Routhier","9505 Rue Basile-Routhier Montréal QC H2M 1T9","9505, Rue Basile-Routhier",,"Montréal","QC","H2M 1T9","Montréal","Niveau 2",45.55097989999999,-73.65110030000001,1,"par heure","sur rue",7.2
"CEA-10611","1003 | BSR | AC | 9505 Basile-Routhier","9505 Rue Basile-Routhier Montréal QC H2M 1T9","9505, Rue Basile-Routhier",,"Montréal","QC","H2M 1T9","Montréal","Niveau 2",45.55097989999999,-73.65110030000001,1,"par heure","sur rue",7.2
"CEA-10902","1004 | BSR | AC | 54 Gouin","54 Boul. Gouin Est Montréal QC H3L 1A6","54 Boul. Gouin Est","","Montréal","QC","H3L 1A6","Montréal","Niveau 2",45.552297,-73.673625,1,"par heure","sur rue",7.2
"CEA-10901","1004 | BSR | AC | 54 Gouin","54 Boul. Gouin Est Montréal QC H3L 1A6","54 Boul. Gouin Est","","Montréal","QC","H3L 1A6","Montréal","Niveau 2",45.552297,-73.673625,1,"par heure","sur rue",7.2
"CEA-11014","1005 | BSR | AC | 1530 Fleury","1530 rue Fleury Montréal QC H2C 2Y6","1530 rue Fleury","","Montréal","QC","H2C 2Y6","Montréal","Niveau 2",45.562906,-73.656227,1,"par heure","sur rue",7.2
"CEA-10797","1005 | BSR | AC | 1530 Fleury","1530 rue Fleury Montréal QC H2C 2Y6","1530 rue Fleury","","Montréal","QC","H2C 2Y6","Montréal","Niveau 2",45.562906,-73.656227,1,"par heure","sur rue",7.2
"CEA-10596","1006 | BSR | AC | 1780 Fleury","1780 Fleury Montréal QC H2C 1T4","1780 Fleury",,"Montréal","QC","H2C 1T4","Montréal","Niveau 2",45.567582,-73.653615,1,"par heure","sur rue",7.2
"CEA-10532","1006 | BSR | AC | 1780 Fleury","1780 Fleury Montréal QC H2C 1T4","1780 Fleury",,"Montréal","QC","H2C 1T4","Montréal","Niveau 2",45.567582,-73.653615,1,"par heure","sur rue",7.2
"CEA-10945","1007 | BSR | AC | 11988 Obrien","11988 Boulevard O'Brien Montréal QC H4J 1Y9","11988 Boulevard O'Brien",,"Montréal","QC","H4J 1Y9","Montréal","Niveau 2",45.53217,-73.706766,1,"par heure","sur rue",7.2
"CEA-10934","1007 | BSR | AC | 11988 Obrien","11988 Boulevard O'Brien Montréal QC H4J 1Y9","11988 Boulevard O'Brien",,"Montréal","QC","H4J 1Y9","Montréal","Niveau 2",45.53217,-73.706766,1,"par heure","sur rue",7.2
"CEA-10941","1008 | BSR | AC | 990 Salaberry","990 Salaberry Montréal QC H3L 3L6","990 Salaberry","","Montréal","QC","H3L 3L6","Montréal","Niveau 2",45.545777,-73.692268,1,"par heure","sur rue",7.2
"CEA-10930","1008 | BSR | AC | 990 Salaberry","990 Salaberry Montréal QC H3L 3L6","990 Salaberry","","Montréal","QC","H3L 3L6","Montréal","Niveau 2",45.545777,-73.692268,1,"par heure","sur rue",7.2
"CEA-12966","10080 | BHR | ANJ | 8621 Avenue Chaumont (côté Nord)","8621 Avenue Chaumont Montréal QC H1K 1N3","8621 Avenue Chaumont",,"Montréal","QC","H1K 1N3","Montréal","Niveau 2",45.610535,-73.54809,1,"par heure","",7.2
"CEA-12592","10081 | BHR | ANJ | 7800 Métropolitain Est : Centre communautaire","7800 boul. Métropolitain Est Montréal QC H1K 1A1","7800 boul. Métropolitain Est","","Montréal","QC","H1K 1A1","Montréal","Niveau 2",45.606483,-73.563324,1,"par heure","",7.2
"CEA-10378","1009 | BSR | AC | 205 Chabanel","205 Rue Chabanel O Montréal QC H2N 1G3","205 Rue Chabanel O","","Montréal","QC","H2N 1G3","Montréal","Niveau 2",45.540928,-73.653312,1,"par heure","sur rue",7.2
"CEA-10577","1009 | BSR | AC | 205 Chabanel","205 Rue Chabanel O Montréal QC H2N 1G3","205 Rue Chabanel O","","Montréal","QC","H2N 1G3","Montréal","Niveau 2",45.540928,-73.653312,1,"par heure","sur rue",7.2
"CEA-10657","1010 | BSR | AC | 9699 Foucher","9699 Foucher Montréal QC H2C 2C8","9699 Foucher",,"Montréal","QC","H2C 2C8","Montréal","Niveau 2",45.552676,-73.65481,1,"par heure","",7.2
"CEA-10603","1010 | BSR | AC | 9699 Foucher","9699 Foucher Montréal QC H2C 2C8","9699 Foucher",,"Montréal","QC","H2C 2C8","Montréal","Niveau 2",45.552676,-73.65481,1,"par heure","",7.2
"CEA-10859","1011 | BSR | AC | 55 Cremazie O","55 boul. Crémazie O Montréal QC H2N 1L3","55 boul. Crémazie O",,"Montréal","QC","H2N 1L3","Montréal","Niveau 2",45.541031,-73.642792,1,"par heure","sur rue",7.2
"CEA-10845","1011 | BSR | AC | 55 Cremazie O","55 boul. Crémazie O Montréal QC H2N 1L3","55 boul. Crémazie O",,"Montréal","QC","H2N 1L3","Montréal","Niveau 2",45.541031,-73.642792,1,"par heure","sur rue",7.2
"CEA-10841","1012 | BSR | AC | 460 Chabanel O","460 Rue Chabanel O Montréal QC H2N 1G8","460 Rue Chabanel O","","Montréal","QC","H2N 1G8","Montréal","Niveau 2",45.537961,-73.654751,1,"par heure","sur rue",7.2
"CEA-10855","1012 | BSR | AC | 460 Chabanel O","460 Rue Chabanel O Montréal QC H2N 1G8","460 Rue Chabanel O","","Montréal","QC","H2N 1G8","Montréal","Niveau 2",45.537961,-73.654751,1,"par heure","sur rue",7.2
"CEA-11040","1013 | BSR | AC | 12505 Lachapelle","12505 Lachapelle Montréal QC H4J 2N2","12505 Lachapelle","","Montréal","QC","H4J 2N2","Montréal","Niveau 2",45.531689,-73.72589,1,"par heure","sur rue",7.2
"CEA-11470","1013 | BSR | AC | 12505 Lachapelle","12505 Lachapelle Montréal QC H4J 2N2","12505 Lachapelle","","Montréal","QC","H4J 2N2","Montréal","Niveau 2",45.531689,-73.72589,1,"par heure","sur rue",7.2
"CEA-11465","1014 | BSR | AC | 9480 Christophe-Colomb","9480 Christophe-Colombe Montréal QC H2M 1Z8","9480 Christophe-Colombe",,"Montréal","QC","H2M 1Z8","Montréal","Niveau 2",45.557738,-73.646247,1,"par heure","sur rue",7.2
"CEA-11481","1014 | BSR | AC | 9480 Christophe-Colomb","9480 Christophe-Colombe Montréal QC H2M 1Z8","9480 Christophe-Colombe",,"Montréal","QC","H2M 1Z8","Montréal","Niveau 2",45.557738,-73.646247,1,"par heure","sur rue",7.2
"CEA-11300","1015 | BSR | AC | 10305 St-Laurent","10305 St-Laurent Montréal QC H3L 2M3","10305 St-Laurent","","Montréal","QC","H3L 2M3","Montréal","Niveau 2",45.548862,-73.664778,1,"par heure","sur rue",7.2
"CEA-11306","1015 | BSR | AC | 10305 St-Laurent","10305 St-Laurent Montréal QC H3L 2M3","10305 St-Laurent","","Montréal","QC","H3L 2M3","Montréal","Niveau 2",45.548862,-73.664778,1,"par heure","sur rue",7.2
"CEA-11188","1016 | BSR | AC | 10625 Francis","10625 Rue Francis Montréal QC H2C 3A5","10625 Rue Francis","","Montréal","QC","H2C 3A5","Montréal","Niveau 2",45.565295,-73.660453,1,"par heure","sur rue",7.2
"CEA-11303","1016 | BSR | AC | 10625 Francis","10625 Rue Francis Montréal QC H2C 3A5","10625 Rue Francis","","Montréal","QC","H2C 3A5","Montréal","Niveau 2",45.565295,-73.660453,1,"par heure","sur rue",7.2
"CEA-11144","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","1545 Henri Bourassa","","Montréal","QC","H3M 1X7","Montréal","Niveau 2",45.538203,-73.678763,1,"par heure","",7.2
"CEA-11296","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","1545 Henri Bourassa","","Montréal","QC","H3M 1X7","Montréal","Niveau 2",45.538203,-73.678763,1,"par heure","",7.2
"CEA-12911","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","1545 Henri Bourassa","","Montréal","QC","H3M 1X7","Montréal","Niveau 2",45.538203,-73.678763,1,"par heure","",7.2
"CEA-12872","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","1545 Henri Bourassa","","Montréal","QC","H3M 1X7","Montréal","Niveau 2",45.538203,-73.678763,1,"par heure","",7.2
"CEA-11005","1018 | BSR | AC | 9335 St-Hubert","9335 rue St Hubert Montréal QC H2M 1Y7","9335 rue St Hubert",,"Montréal","QC","H2M 1Y7","Montréal","Niveau 2",45.552497,-73.646632,1,"par heure","sur rue",7.2
"CEA-11297","1018 | BSR | AC | 9335 St-Hubert","9335 rue St Hubert Montréal QC H2M 1Y7","9335 rue St Hubert",,"Montréal","QC","H2M 1Y7","Montréal","Niveau 2",45.552497,-73.646632,1,"par heure","sur rue",7.2
"CEA-10273","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","10905A rue Basile Routhier","","Montréal","QC","H2C 3H5","Montréal","Niveau 2",45.557084,-73.671649,1,"par heure","sur rue",7.2
"CEA-10258","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","10905A rue Basile Routhier","","Montréal","QC","H2C 3H5","Montréal","Niveau 2",45.557084,-73.671649,1,"par heure","sur rue",7.2
"CEA-10291","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","10905A rue Basile Routhier","","Montréal","QC","H2C 3H5","Montréal","Niveau 2",45.557084,-73.671649,1,"par heure","sur rue",7.2
"CEA-10264","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","10905A rue Basile Routhier","","Montréal","QC","H2C 3H5","Montréal","Niveau 2",45.557084,-73.671649,1,"par heure","sur rue",7.2
"CEA-11344","1020 | BSR | AC | 2503 Henri-Bourassa E.","2503 Henri-Bourassa E. Montréal QC H2B 1V1","2503 Henri-Bourassa E.",,"Montréal","QC","H2B 1V1","Montréal","Niveau 2",45.578369,-73.65382,1,"par heure","",7.2
"CEA-11860","1020 | BSR | AC | 2503 Henri-Bourassa E.","2503 Henri-Bourassa E. Montréal QC H2B 1V1","2503 Henri-Bourassa E.",,"Montréal","QC","H2B 1V1","Montréal","Niveau 2",45.578369,-73.65382,1,"par heure","",7.2
"CEA-11922","1021 | BSR | AC | 10940 St-Laurent","10940 Boul St-Laurent Montréal QC H3L 2R1","10940 Boul St-Laurent",,"Montréal","QC","H3L 2R1","Montréal","Niveau 2",45.55174,-73.675833,1,"par heure","sur rue",7.2
"CEA-11921","1021 | BSR | AC | 10940 St-Laurent","10940 Boul St-Laurent Montréal QC H3L 2R1","10940 Boul St-Laurent",,"Montréal","QC","H3L 2R1","Montréal","Niveau 2",45.55174,-73.675833,1,"par heure","sur rue",7.2
"CEA-12067","1022 | BSR | AC | 9494 Papineau","9490 papineau Montréal QC H2M 1Z3","9490 papineau",,"Montréal","QC","H2M 1Z3","Montréal","Niveau 2",45.563199,-73.642342,1,"par heure","sur rue",7.2
"CEA-12061","1022 | BSR | AC | 9494 Papineau","9490 papineau Montréal QC H2M 1Z3","9490 papineau",,"Montréal","QC","H2M 1Z3","Montréal","Niveau 2",45.563199,-73.642342,1,"par heure","sur rue",7.2
"CEA-11204","1023 | BSR | AC | 8340 Papineau","8340 Avenue Papineau Montréal QC H2M 2R5","8340 Avenue Papineau",,"Montréal","QC","H2M 2R5","Montréal","Niveau 2",45.555275,-73.624298,1,"par heure","sur rue",7.2
"CEA-11581","1023 | BSR | AC | 8340 Papineau","8340 Avenue Papineau Montréal QC H2M 2R5","8340 Avenue Papineau",,"Montréal","QC","H2M 2R5","Montréal","Niveau 2",45.555275,-73.624298,1,"par heure","sur rue",7.2
"CEA-12066","1024 | BSR | AC | 1110 Sauvé","1110 Sauvé Montréal QC H2C 1Z9","1110 Sauvé",,"Montréal","QC","H2C 1Z9","Montréal","Niveau 2",45.55656,-73.652551,1,"par heure","",7.2
"CEA-12055","1024 | BSR | AC | 1110 Sauvé","1110 Sauvé Montréal QC H2C 1Z9","1110 Sauvé",,"Montréal","QC","H2C 1Z9","Montréal","Niveau 2",45.55656,-73.652551,1,"par heure","",7.2
"CEA-12024","1025 | BSR | AC | 10001 Jules-Crépeau","10001 jules crépeau Montréal QC H4N 2Z3","10001 jules crépeau",,"Montréal","QC","H4N 2Z3","Montréal","Niveau 2",45.535466,-73.669593,1,"par heure","sur rue",7.2
"CEA-12062","1025 | BSR | AC | 10001 Jules-Crépeau","10001 jules crépeau Montréal QC H4N 2Z3","10001 jules crépeau",,"Montréal","QC","H4N 2Z3","Montréal","Niveau 2",45.535466,-73.669593,1,"par heure","sur rue",7.2
"CEA-12120","1026 | BSR | AC | 2425 Gouin E. - Parc de la Visitation","2425 Gouin E Montréal QC H2B 1X7","2425 Gouin E",,"Montréal","QC","H2B 1X7","Montréal","Niveau 2",45.578392,-73.656741,1,"par heure","sur rue",7.2
"CEA-12106","1026 | BSR | AC | 2425 Gouin E. - Parc de la Visitation","2425 Gouin E Montréal QC H2B 1X7","2425 Gouin E",,"Montréal","QC","H2B 1X7","Montréal","Niveau 2",45.578392,-73.656741,1,"par heure","sur rue",7.2
"CEA-10163","1027 | BSR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","8800 av Christophe-Colomb",,"Montréal","QC","H2M 2E7","Montréal","Niveau 2",45.55304512723416,-73.63315809673014,1,"par heure","sur rue",7.2
"CEA-10927","1027 | BSR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","8800 av Christophe-Colomb",,"Montréal","QC","H2M 2E7","Montréal","Niveau 2",45.55304512723416,-73.63315809673014,1,"par heure","sur rue",7.2
"CEA-12294","1027 | BSR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","8800 av Christophe-Colomb",,"Montréal","QC","H2M 2E7","Montréal","Niveau 2",45.55304512723416,-73.63315809673014,1,"par heure","sur rue",7.2
"CEA-12309","1027 | BSR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","8800 av Christophe-Colomb",,"Montréal","QC","H2M 2E7","Montréal","Niveau 2",45.55304512723416,-73.63315809673014,1,"par heure","sur rue",7.2
"CEA-10149","1028 | BSR | AC | 12373 Notre-Dame-Des-Anges - Parc Raimbault","12373 Notre-Dame des anges - Parc Raimbault Montréal QC H4J 2C3","12373 Notre-Dame des anges - Parc Raimbault",,"Montréal","QC","H4J 2C3","Montréal","Niveau 2",45.53558,-73.717871,1,"par heure","sur rue",7.2
"CEA-10146","1028 | BSR | AC | 12373 Notre-Dame-Des-Anges - Parc Raimbault","12373 Notre-Dame des anges - Parc Raimbault Montréal QC H4J 2C3","12373 Notre-Dame des anges - Parc Raimbault",,"Montréal","QC","H4J 2C3","Montréal","Niveau 2",45.53558,-73.717871,1,"par heure","sur rue",7.2
"CEA-12524","1029 | BSR | AC | 10265 St-Hubert","10265 St-Hubert Montréal QC H2C 2H6","10265 St-Hubert",,"Montréal","QC","H2C 2H6","Montréal","Niveau 2",45.556288,-73.659595,1,"par heure","sur rue",7.2
"CEA-12540","1029 | BSR | AC | 10265 St-Hubert","10265 St-Hubert Montréal QC H2C 2H6","10265 St-Hubert",,"Montréal","QC","H2C 2H6","Montréal","Niveau 2",45.556288,-73.659595,1,"par heure","sur rue",7.2
"CEA-12433","1030 | BSR | AC | 10050 Place de L'Acadie","10050 Place de L'Acadie Montréal QC H4N 0C9","10050 Place de L'Acadie",,"Montréal","QC","H4N 0C9","Montréal","Niveau 2",45.533339,-73.679602,1,"par heure","",7.2
"CEA-12434","1030 | BSR | AC | 10050 Place de L'Acadie","10050 Place de L'Acadie Montréal QC H4N 0C9","10050 Place de L'Acadie",,"Montréal","QC","H4N 0C9","Montréal","Niveau 2",45.533339,-73.679602,1,"par heure","",7.2
"CEA-12906","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","5 Chabanel",,"Montréal","QC","H2N 1N3","Montréal","Niveau 2",45.544194,-73.651406,1,"par heure","sur rue",7.2
"CEA-12907","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","5 Chabanel",,"Montréal","QC","H2N 1N3","Montréal","Niveau 2",45.544194,-73.651406,1,"par heure","sur rue",7.2
"CEA-12908","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","5 Chabanel",,"Montréal","QC","H2N 1N3","Montréal","Niveau 2",45.544194,-73.651406,1,"par heure","",7.2
"CEA-12910","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","5 Chabanel",,"Montréal","QC","H2N 1N3","Montréal","Niveau 2",45.544194,-73.651406,1,"par heure","",7.2
"CEA-13067","1032 | BSR | AC | 10374 Sackville","10374 Sackville Montréal QC H2B 2W6","10374 Sackville",,"Montréal","QC","H2B 2W6","Montréal","Niveau 2",45.577554,-73.647587,1,"par heure","sur rue",7.2
"CEA-13056","1032 | BSR | AC | 10374 Sackville","10374 Sackville Montréal QC H2B 2W6","10374 Sackville",,"Montréal","QC","H2B 2W6","Montréal","Niveau 2",45.577554,-73.647587,1,"par heure","sur rue",7.2
"CEA-12857","1033 | BSR | AC | 10725A St-Hubert","10725A St-Hubert Montréal QC H2C 2J1","10725A St-Hubert",,"Montréal","QC","H2C 2J1","Montréal","Niveau 2",45.55862,-73.667787,1,"par heure","sur rue",7.2
"CEA-12842","1033 | BSR | AC | 10725A St-Hubert","10725A St-Hubert Montréal QC H2C 2J1","10725A St-Hubert",,"Montréal","QC","H2C 2J1","Montréal","Niveau 2",45.55862,-73.667787,1,"par heure","sur rue",7.2
"CEA-13063","1034 | BSR | AC | 10760 Saint-Charles","10760 Saint-Charles Montréal QC H2C 1B1","10760 Saint-Charles",,"Montréal","QC","H2C 1B1","Montréal","Niveau 2",45.559919,-73.667026,1,"par heure","",7.2
