NOM_EVENEMENT,DATE,VILLE
EMIE R ROUSSEL TRIO,2022-03-05T00:00:00.000-05:00,Jonquière
QUARTOM,2022-03-06T00:00:00.000-05:00,Chicoutimi
2FRÈRES,2022-03-06T00:00:00.000-05:00,Roberval
JEAN-FRANÇOIS MERCIER,2022-03-10T00:00:00.000-05:00,Jonquière
MARIANA MAZZA,2022-03-11T00:00:00.000-05:00,La Baie
ALEXANDRE POULIN,2022-03-11T00:00:00.000-05:00,Chicoutimi
CATHY GAUTHIER,2022-03-11T00:00:00.000-05:00,Alma
PELCH & GENEVIÈVE RACETTE - PLATEAU DOUBLE,2022-03-11T00:00:00.000-05:00,Jonquière
ALAIN CHOQUETTE,2022-03-12T00:00:00.000-05:00,Chicoutimi
CATHY GAUTHIER,2022-03-12T00:00:00.000-05:00,Dolbeau-Mistassini
ALEXANDRE POULIN,2022-03-12T00:00:00.000-05:00,Alma
ORCHESTRE DE L'AGORA,2022-03-13T00:00:00.000-05:00,Alma
"FROID, DISTANT",2022-03-15T00:00:00.000-04:00,Alma
RICHARDSON ZÉPHIR,2022-03-17T00:00:00.000-04:00,Jonquière
VÉRONIQUE LABBÉ ET HERT LEBLANC,2022-03-17T00:00:00.000-04:00,Alma
MARTIN PETIT,2022-03-18T00:00:00.000-04:00,Jonquière
GUYLAINE TREMBLAY (HOMMAGE À YVON DESCHAMPS),2022-03-18T00:00:00.000-04:00,Dolbeau-Mistassini
KORA FLAMENCA,2022-03-18T00:00:00.000-04:00,Alma
"GUYLAINE TREMBLAY -J’SAIS PAS COMMENT, J’SAIS PAS POURQUOI",2022-03-19T00:00:00.000-04:00,Chicoutimi
VÉRONIQUE LABBÉ ET HERT LEBLANC,2022-03-19T00:00:00.000-04:00,Jonquière
MARTIN PETIT,2022-03-19T00:00:00.000-04:00,Dolbeau-Mistassini
ZOÉ,2022-03-23T00:00:00.000-04:00,Alma
MÉLISSA BÉDARD,2022-03-23T00:00:00.000-04:00,Roberval
LE THÉÂTRE LA RUBRIQUE PRÉSENTE ZOÉ,2022-03-24T00:00:00.000-04:00,Jonquière
ZOÉ,2022-03-24T00:00:00.000-04:00,Jonquière
MÉLISSA BÉDARD,2022-03-24T00:00:00.000-04:00,Jonquière
ANDRÉ SAUVÉ,2022-03-24T00:00:00.000-04:00,Dolbeau-Mistassini
FREDZ & MARILYNE LÉONARD - PLATEAU DOUBLE,2022-03-24T00:00:00.000-04:00,Jonquière
NIKAMU MAMUITUN,2022-03-25T00:00:00.000-04:00,Jonquière
MÉLISSA BÉDARD,2022-03-25T00:00:00.000-04:00,Dolbeau-Mistassini
FUUDGE,2022-03-25T00:00:00.000-04:00,Saint-Prime
YVES DUTEIL,2022-03-26T00:00:00.000-04:00,Jonquière
BALLET JÖRGEN - ROMÉO ET JULIETTE,2022-03-26T00:00:00.000-04:00,Dolbeau-Mistassini
MÉLISSA BÉDARD,2022-03-26T00:00:00.000-04:00,Alma
ELLIOT MAGINOT,2022-03-26T00:00:00.000-04:00,Jonquière
LES 3 SOEURS,2022-03-30T00:00:00.000-04:00,Chicoutimi
LE THÉÂTRE À BOUT PORTANT PRÉSENTE LA MIGRATION DES PEUPLES,2022-03-31T00:00:00.000-04:00,Chicoutimi
GLOB,2022-03-31T00:00:00.000-04:00,Alma
ROMÉO ET JULIETTE DE BALLET JÖRGEN CANADA,2022-03-31T00:00:00.000-04:00,Jonquière
VINCENT VALLIÈRES,2022-03-31T00:00:00.000-04:00,Jonquière
DOMINIC ET MARTIN,2022-04-01T00:00:00.000-04:00,Jonquière
LES MORISSETTE II,2022-04-02T00:00:00.000-04:00,La Baie
VINCENT VALLIÈRES,2022-04-02T00:00:00.000-04:00,Saint-Prime
SIMON LEBLANC,2022-04-02T00:00:00.000-04:00,Alma
MIKE WARD,2022-04-02T00:00:00.000-04:00,Chicoutimi
ROUGE POMPIER,2022-04-02T00:00:00.000-04:00,Jonquière
LE THÉÂTRE LA RUBRIQUE PRÉSENTE BROTIPO,2022-04-03T00:00:00.000-04:00,Jonquière
HUIT FEMMES,2022-04-03T00:00:00.000-04:00,Chicoutimi
JE SUIS WILLIAM,2022-04-04T00:00:00.000-04:00,Alma
LE THÉÂTRE LA RUBRIQUE PRÉSENTE LES HARDINGS,2022-04-07T00:00:00.000-04:00,Jonquière
RITA BAGA,2022-04-07T00:00:00.000-04:00,Alma
LES DIX COMMANDEMENTS 2020,2022-04-08T00:00:00.000-04:00,Alma
RITA BAGA,2022-04-08T00:00:00.000-04:00,Jonquière
DIANE TELL,2022-04-08T00:00:00.000-04:00,Jonquière
"MARTIN LEVAC, PHIL COLLINS & GENESIS",2022-04-09T00:00:00.000-04:00,Chicoutimi
ALAIN MORISOD ET SWEET PEOPLE,2022-04-14T00:00:00.000-04:00,Alma
ARNAUD SOLY,2022-04-14T00:00:00.000-04:00,Chicoutimi
PHILIPPE LAPRISE - POURQUOI PAS,2022-04-15T00:00:00.000-04:00,Roberval
LOUIS-JEAN CORMIER,2022-04-15T00:00:00.000-04:00,Saint-Prime
P-A MÉTHOT,2022-04-15T00:00:00.000-04:00,Alma
ALAIN MORISOD ET SWEET PEOPLE,2022-04-15T00:00:00.000-04:00,La Baie
ÉMILE PROULX-CLOUTIER,2022-04-16T00:00:00.000-04:00,Alma
COEUR DE PIRATE,2022-04-16T00:00:00.000-04:00,La Baie
PHILIPPE LAPRISE - POURQUOI PAS,2022-04-17T00:00:00.000-04:00,Alma
"FROID, DISTANT",2022-04-21T00:00:00.000-04:00,Chicoutimi
MONONC'SERGE EN TRIO,2022-04-22T00:00:00.000-04:00,Jonquière
CRYPTO,2022-04-23T00:00:00.000-04:00,Alma
LADIES NIGHT,2022-04-23T00:00:00.000-04:00,Chicoutimi
THE TWO,2022-04-25T00:00:00.000-04:00,Jonquière
LES POLISSONS DE LA CHANSON,2022-04-27T00:00:00.000-04:00,Chicoutimi
ÉMILE BILODEAU,2022-04-28T00:00:00.000-04:00,Jonquière
STACEY KENT SYMPHONIQUE,2022-04-28T00:00:00.000-04:00,Chicoutimi
LES ROYAL PICKLES,2022-04-28T00:00:00.000-04:00,Jonquière
DAWN TYLER WATSON,2022-04-29T00:00:00.000-04:00,Jonquière
ÉMILE BILODEAU,2022-04-29T00:00:00.000-04:00,Saint-Prime
LE THÉÂTRE LA RUBRIQUE PRÉSENTE LE MAGICIEN D'OZ,2022-04-30T00:00:00.000-04:00,Jonquière
COLIN JAMES BLUES TRIO,2022-04-30T00:00:00.000-04:00,Chicoutimi
COLIN JAMES BLUES TRIO,2022-04-30T00:00:00.000-04:00,Chicoutimi
HUIT FEMMES,2022-05-06T00:00:00.000-04:00,Roberval
LE THÉÂTRE LA RUBRIQUE PRÉSENTE UNE LUNE ENTRE DEUX MAISONS,2022-05-07T00:00:00.000-04:00,Jonquière
